Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
885,1,1.02,0.00,0.17,0.00,0.83,0.00,0.67,0.00,6.13
886,1,0.15,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.90
887,1,0.25,0.02,0.16,0.01,0.84,0.00,0.67,0.00,1.80
888,1,1.58,0.00,0.18,0.00,0.82,0.00,0.67,0.00,9.57
889,1,1.82,0.35,0.34,0.18,0.66,0.00,0.67,0.00,16.06
890,1,2.79,0.93,0.03,0.00,0.97,0.00,0.67,0.00,17.41
891,1,0.24,0.24,0.37,0.02,0.63,0.00,0.67,0.00,3.54
892,1,1.09,0.36,0.49,0.00,0.51,0.00,0.67,0.00,10.42
893,1,1.02,1.02,0.05,0.04,0.95,0.00,0.67,0.00,7.99
894,1,0.54,0.06,0.00,0.06,1.00,0.00,0.67,0.00,4.59
895,1,1.03,0.10,0.00,0.10,1.00,0.00,0.67,0.00,8.50
896,1,0.57,0.06,0.23,0.06,0.77,0.00,0.67,0.00,4.80
897,1,6.84,0.76,0.08,0.00,0.92,0.00,0.67,0.00,42.57
898,1,2.38,0.00,0.11,0.00,0.89,0.00,0.67,0.00,14.34
899,1,0.94,0.00,0.15,0.00,0.85,0.00,0.67,0.00,5.68
900,1,0.43,0.04,0.03,0.04,0.97,0.00,0.67,0.00,3.40
901,1,0.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.53
902,1,23.15,0.05,0.00,0.04,1.00,0.00,0.67,0.00,140.76
903,1,0.78,0.07,0.00,0.07,1.00,0.00,0.67,0.00,6.25
904,1,9.07,0.00,0.02,0.00,0.98,0.00,0.67,0.00,54.76
905,1,8.27,0.00,0.02,0.00,0.98,0.00,0.67,0.00,49.95
906,1,0.97,0.00,0.10,0.00,0.90,0.00,0.67,0.00,5.88
907,1,1.15,0.12,0.01,0.01,0.99,0.00,0.67,0.00,7.21
908,1,0.74,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.47
909,1,0.24,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.48
910,1,0.74,0.58,0.23,0.00,0.77,0.00,0.67,0.00,7.41
911,1,0.74,0.11,0.38,0.09,0.62,0.00,0.67,0.00,6.67
912,1,1.59,1.59,0.07,0.00,0.93,0.00,0.67,0.00,11.97
913,1,1.05,0.02,0.00,0.02,1.00,0.00,0.67,0.00,6.81
914,1,41.48,0.20,0.00,0.20,1.00,0.00,0.67,0.00,254.75
915,1,0.76,0.01,0.00,0.01,1.00,0.00,0.67,0.00,4.94
916,1,0.38,0.00,0.10,0.00,0.90,0.00,0.67,0.00,2.29
917,1,0.66,0.13,0.00,0.13,1.00,0.00,0.67,0.00,6.72
918,1,8.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,49.82
919,1,1.76,0.00,0.10,0.00,0.90,0.00,0.67,0.00,10.66
920,1,0.69,0.02,0.07,0.02,0.93,0.00,0.67,0.00,4.56
921,1,0.50,0.50,0.09,0.00,0.91,0.00,0.67,0.00,4.01
922,1,2.02,2.02,0.12,0.00,0.88,0.00,0.67,0.00,17.25
923,1,1.46,0.08,0.00,0.08,1.00,0.00,0.67,0.00,10.45
924,1,0.26,0.04,0.19,0.04,0.81,0.00,0.67,0.00,2.34
925,1,0.60,0.17,0.52,0.03,0.48,0.00,0.67,0.00,5.88
926,1,2.09,0.02,0.04,0.02,0.96,0.00,0.67,0.00,13.02
927,1,0.82,0.00,0.15,0.00,0.85,0.00,0.67,0.00,4.98
928,1,2.00,2.00,0.23,0.23,0.77,0.00,0.67,0.00,25.76
929,1,0.58,0.44,0.42,0.00,0.58,0.00,0.67,0.00,7.54
930,1,0.86,0.15,0.29,0.15,0.71,0.00,0.67,0.00,8.37
931,1,0.00,0.00,0.86,0.52,0.14,3.28,0.09,3.00,1.60
932,1,0.50,0.32,0.56,0.22,0.44,0.00,0.67,0.00,9.01
933,1,0.45,0.10,0.32,0.10,0.68,0.00,0.67,0.00,4.87
934,1,0.78,0.28,0.42,0.00,0.58,0.00,0.67,0.00,7.22
935,1,0.78,0.78,0.24,0.00,0.76,0.00,0.67,0.00,8.79
936,1,1.24,0.13,0.15,0.13,0.85,0.00,0.67,0.00,10.23
937,1,1.51,0.03,0.07,0.03,0.93,0.00,0.67,0.00,9.75
938,1,1.08,0.00,0.25,0.00,0.75,0.00,0.67,0.00,6.53
939,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
940,1,1.26,0.24,0.00,0.23,1.00,0.00,0.67,0.00,12.54
941,1,0.60,0.01,0.00,0.01,1.00,0.00,0.67,0.00,3.91
942,1,0.79,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.76
943,1,0.65,0.00,0.15,0.00,0.85,0.00,0.67,0.00,3.95
944,1,9.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,55.84
945,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
946,1,0.53,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.20
947,1,1.40,0.00,0.09,0.00,0.91,0.00,0.67,0.00,8.45
948,1,1.60,0.00,0.10,0.00,0.90,0.00,0.67,0.00,9.67
949,1,0.97,0.00,0.02,0.00,0.98,0.00,0.67,0.00,5.87
950,1,1.16,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.03
951,1,0.50,0.00,0.04,0.00,0.96,0.00,0.67,0.00,3.01
952,1,0.71,0.25,0.26,0.00,0.74,0.00,0.67,0.00,5.72
953,1,1.46,0.00,0.09,0.00,0.91,0.00,0.67,0.00,8.79
954,1,1.01,0.00,0.02,0.00,0.98,0.00,0.67,0.00,6.08
955,1,0.87,0.05,0.00,0.04,1.00,0.00,0.67,0.00,6.16
956,1,0.77,0.00,0.10,0.00,0.90,0.00,0.67,0.00,4.66
957,1,0.86,0.33,0.25,0.00,0.75,0.00,0.67,0.00,6.97
958,1,0.50,0.26,0.49,0.27,0.51,0.00,0.67,0.00,8.73
959,1,11.46,0.01,0.10,0.01,0.90,0.00,0.67,0.00,69.54
960,1,0.56,0.00,0.20,0.00,0.80,0.00,0.67,0.00,3.39
961,1,4.53,0.23,0.01,0.21,0.99,0.00,0.67,0.00,31.95
962,1,0.10,0.00,0.00,0.21,1.00,0.55,0.42,5.00,5.12
963,1,1.44,0.01,0.00,0.01,1.00,0.00,0.67,0.00,9.01
964,1,3.39,0.03,0.00,0.03,1.00,0.00,0.67,0.00,21.11
965,1,1.48,0.24,0.00,0.24,1.00,0.00,0.67,0.00,14.10
966,1,0.85,0.11,0.20,0.11,0.80,0.00,0.67,0.00,7.63
967,1,0.91,0.05,0.00,0.05,1.00,0.00,0.67,0.00,6.64
968,1,4.82,1.10,0.04,0.00,0.96,0.00,0.67,0.00,29.96
969,1,1.72,0.00,0.05,0.00,0.95,0.00,0.67,0.00,10.40
970,1,0.91,0.00,0.26,0.00,0.74,0.00,0.67,0.00,5.51
971,1,1.89,0.29,0.01,0.01,0.99,0.00,0.67,0.00,11.77
972,1,1.24,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.49
973,1,2.24,0.00,0.05,0.00,0.95,0.00,0.67,0.00,13.52
974,1,15.50,0.00,0.00,0.00,1.00,0.00,0.67,0.00,93.59
975,1,0.76,0.01,0.00,0.01,1.00,0.00,0.67,0.00,4.92
976,1,0.47,0.00,0.11,0.00,0.89,0.00,0.67,0.00,2.85
977,1,0.97,0.00,0.09,0.00,0.91,0.00,0.67,0.00,5.89
978,1,0.21,0.06,0.32,0.05,0.68,0.00,0.67,0.00,2.45
979,1,1.26,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.59
980,1,0.33,0.02,0.00,0.02,1.00,0.00,0.67,0.00,2.48
981,1,0.90,0.00,0.11,0.00,0.89,0.00,0.67,0.00,5.43
982,1,1.63,1.63,0.04,0.03,0.96,0.00,0.67,0.00,12.10
983,1,6.20,0.00,0.02,0.00,0.98,0.00,0.67,0.00,37.47
984,1,1.07,0.00,0.18,0.00,0.82,0.00,0.67,0.00,6.47
985,1,0.32,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.92
986,1,0.56,0.01,0.00,0.01,1.00,0.00,0.67,0.00,3.67
987,1,1.68,0.03,0.00,0.03,1.00,0.00,0.67,0.00,10.90
988,1,1.30,0.00,0.18,0.00,0.82,0.00,0.67,0.00,7.85
989,1,0.70,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.22
990,1,3.59,0.02,0.00,0.02,1.00,0.00,0.67,0.00,22.15
991,1,0.36,0.04,0.82,0.04,0.18,0.00,0.67,0.00,3.13
992,1,1711.39,0.00,0.02,0.00,0.98,0.00,0.67,0.00,10334.89
993,1,1.98,0.00,0.02,0.00,0.98,0.00,0.67,0.00,11.98
994,1,0.31,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.86
995,1,0.86,0.86,0.03,0.00,0.97,0.00,0.67,0.00,5.79
996,1,0.31,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.86
997,1,1.15,0.83,0.31,0.00,0.69,0.00,0.67,0.00,12.60
998,1,1.02,0.15,0.13,0.15,0.87,0.00,0.67,0.00,9.39
999,1,6.32,0.00,0.02,0.00,0.98,0.00,0.67,0.00,38.19
1000,1,2.47,0.76,0.03,0.00,0.97,0.00,0.67,0.00,15.48
1001,1,8.24,0.00,0.02,0.00,0.98,0.00,0.67,0.00,49.77
1002,1,0.59,0.59,0.15,0.00,0.85,0.00,0.67,0.00,5.54
1003,1,0.52,0.34,0.06,0.00,0.94,0.00,0.67,0.00,3.59
1004,1,0.17,0.17,0.10,0.00,0.90,0.00,0.67,0.00,1.36
1005,1,0.14,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.82
1006,1,2.38,0.00,0.04,0.00,0.96,0.00,0.67,0.00,14.38
1007,1,1.69,0.05,0.01,0.02,0.99,0.00,0.67,0.00,10.55
1008,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1009,1,0.81,0.00,0.26,0.00,0.74,0.00,0.67,0.00,4.91
1010,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1011,1,0.34,0.34,0.06,0.00,0.94,0.00,0.67,0.00,2.49
1012,1,1.02,0.13,0.00,0.13,1.00,0.00,0.67,0.00,9.01
1013,1,0.29,0.03,0.00,0.03,1.00,0.00,0.67,0.00,2.40
1014,1,0.82,0.82,0.04,0.00,0.96,0.00,0.67,0.00,5.58
1015,1,1.15,1.15,0.03,0.00,0.97,0.00,0.67,0.00,7.69
1016,1,1.47,0.26,0.06,0.26,0.94,0.00,0.67,0.00,14.52
1017,1,1.21,0.02,0.01,0.02,0.99,0.00,0.67,0.00,7.77
1018,1,1.66,0.71,0.07,0.00,0.93,0.00,0.67,0.00,11.17
1019,1,2.31,1.37,0.13,0.00,0.87,0.00,0.67,0.00,17.85
1020,1,0.68,0.22,0.00,0.21,1.00,0.00,0.67,0.00,8.60
1021,1,1.44,0.45,0.05,0.00,0.95,0.00,0.67,0.00,9.24
1022,1,1.83,1.83,0.05,0.00,0.95,0.00,0.67,0.00,13.07
1023,1,1.78,0.18,0.36,0.19,0.64,0.00,0.67,0.00,14.84
1024,1,0.52,0.08,0.00,0.08,1.00,0.00,0.67,0.00,4.84
1025,1,8.96,0.00,0.02,0.00,0.98,0.00,0.67,0.00,54.09
1026,1,1.00,0.34,0.00,0.32,1.00,0.00,0.67,0.00,12.98
1027,1,1.11,1.11,0.46,0.00,0.54,0.00,0.67,0.00,17.87
1028,1,0.58,0.58,0.34,0.00,0.66,0.00,0.67,0.00,7.72
1029,1,4.32,0.15,0.00,0.15,1.00,0.00,0.67,0.00,29.38
1030,1,1.03,0.00,0.19,0.00,0.81,0.00,0.67,0.00,6.25
1031,1,0.39,0.39,0.06,0.00,0.94,0.00,0.67,0.00,2.85
1032,1,0.96,0.26,0.11,0.03,0.89,0.00,0.67,0.00,7.05
1033,1,1.29,0.00,0.09,0.00,0.91,0.00,0.67,0.00,7.82
1034,1,0.30,0.01,0.00,0.01,1.00,0.00,0.67,0.00,2.13
1035,1,1.17,0.02,0.03,0.02,0.97,0.00,0.67,0.00,7.41
1036,1,2.60,2.60,0.10,0.00,0.90,0.00,0.67,0.00,21.39
1037,1,6.36,0.14,0.00,0.14,1.00,0.00,0.67,0.00,41.33
1038,1,2.90,0.53,0.26,0.13,0.74,0.00,0.67,0.00,22.47
1039,1,2.13,0.15,0.23,0.15,0.77,0.00,0.67,0.00,16.19
1040,1,28.03,28.03,0.07,0.02,0.93,0.00,0.67,0.00,209.92
1041,1,1.19,0.36,0.13,0.27,0.87,0.00,0.67,0.00,13.27
1042,1,0.98,0.98,0.21,0.00,0.79,0.00,0.67,0.00,10.30
1043,1,1.02,0.10,0.15,0.10,0.85,0.00,0.67,0.00,8.30
1044,1,8.10,0.21,0.06,0.16,0.94,0.00,0.67,0.00,52.38
1045,1,0.83,0.17,0.00,0.17,1.00,0.00,0.67,0.00,8.70
1046,1,0.91,0.04,0.00,0.03,1.00,0.00,0.67,0.00,6.24
1047,1,3.39,0.00,0.11,0.00,0.89,0.00,0.67,0.00,20.48
1048,1,2.55,0.09,0.02,0.09,0.98,0.00,0.67,0.00,17.41
1049,1,0.45,0.45,0.18,0.00,0.82,0.00,0.67,0.00,4.53
1050,1,1.09,0.00,0.02,0.00,0.98,0.00,0.67,0.00,6.58
1051,1,7.32,0.00,0.02,0.00,0.98,0.00,0.67,0.00,44.21
1052,1,0.73,0.73,0.03,0.00,0.97,0.00,0.67,0.00,4.92
1053,1,0.57,0.04,0.00,0.04,1.00,0.00,0.67,0.00,4.37
1054,1,1.65,0.04,0.00,0.01,1.00,0.00,0.67,0.00,10.26
1055,1,2.04,0.00,0.18,0.00,0.82,0.00,0.67,0.00,12.30
1056,1,1.46,0.09,0.12,0.09,0.88,0.00,0.67,0.00,10.71
1057,1,0.97,0.00,0.09,0.00,0.91,0.00,0.67,0.00,5.84
1058,1,7.90,0.04,0.18,0.04,0.82,0.00,0.67,0.00,48.47
1059,1,1.54,0.00,0.04,0.00,0.96,0.00,0.67,0.00,9.31
1060,1,1.89,0.79,0.08,0.02,0.92,0.00,0.67,0.00,13.33
1061,1,0.87,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.23
1062,1,1.64,0.94,0.09,0.00,0.91,0.00,0.67,0.00,11.77
1063,1,3.72,0.06,1.00,0.06,0.00,0.00,0.67,0.00,23.76
1064,1,1.71,0.64,0.11,0.00,0.89,0.00,0.67,0.00,11.91
1065,1,0.23,0.23,0.15,0.00,0.85,0.00,0.67,0.00,2.18
1066,1,0.33,0.33,0.15,0.01,0.85,0.00,0.67,0.00,3.27
1067,1,0.14,0.00,0.01,0.00,0.99,0.00,0.67,0.00,0.85
1068,1,1.01,1.01,0.10,0.08,0.90,0.00,0.67,0.00,9.88
1069,1,0.60,0.00,0.15,0.00,0.85,0.00,0.67,0.00,3.64
1070,1,0.40,0.40,0.65,0.07,0.35,0.00,0.67,0.00,8.52
1071,1,9.21,0.08,0.00,0.08,1.00,0.00,0.67,0.00,57.35
1072,1,0.77,0.02,0.05,0.02,0.95,0.00,0.67,0.00,5.16
1073,1,7.76,0.06,0.00,0.02,1.00,0.00,0.67,0.00,47.24
1074,1,4.84,0.33,0.48,0.00,0.52,0.00,0.67,0.00,32.71
1075,1,3.23,0.19,0.34,0.18,0.66,0.00,0.67,0.00,23.47
1076,1,0.97,0.00,0.14,0.00,0.86,0.00,0.67,0.00,5.88
1077,1,1.50,0.00,0.11,0.00,0.89,0.00,0.67,0.00,9.08
1078,1,0.72,0.72,0.04,0.00,0.96,0.00,0.67,0.00,4.99
1079,1,0.14,0.00,0.04,0.00,0.96,0.00,0.67,0.00,0.86
1080,1,0.14,0.00,0.12,0.00,0.88,0.00,0.67,0.00,0.87
1081,1,0.91,0.28,0.54,0.28,0.46,0.00,0.67,0.00,11.51
1082,1,0.61,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.67
1083,1,0.77,0.00,0.18,0.00,0.82,0.00,0.67,0.00,4.66
1084,1,3.94,0.15,0.03,0.04,0.97,0.00,0.67,0.00,24.70
1085,1,1.67,0.06,0.02,0.05,0.98,0.00,0.67,0.00,11.22
1086,1,0.14,0.02,0.00,0.01,1.00,0.00,0.67,0.00,1.13
1087,1,3.82,1.86,0.07,0.02,0.93,0.00,0.67,0.00,26.20
1088,1,3.69,0.89,0.17,0.00,0.83,0.00,0.67,0.00,25.46
1089,1,4.46,0.07,0.03,0.06,0.97,0.00,0.67,0.00,28.30
1090,1,1.51,0.80,0.37,0.00,0.63,0.00,0.67,0.00,15.50
1091,1,0.96,0.28,0.25,0.24,0.75,0.00,0.67,0.00,11.20
1092,1,1.27,0.02,0.00,0.03,1.00,0.00,0.67,0.00,8.22
1093,1,1.56,1.56,0.09,0.15,0.91,0.00,0.67,0.00,15.46
1094,1,1.24,1.24,0.28,0.25,0.72,0.00,0.67,0.00,19.02
1095,1,1.18,0.57,0.48,0.13,0.52,0.00,0.67,0.00,14.47
1096,1,2.23,0.96,0.30,0.00,0.70,0.00,0.67,0.00,19.76
1097,1,6.49,0.09,0.04,0.09,0.96,0.00,0.67,0.00,41.08
1098,1,39.64,0.39,0.00,0.39,1.00,0.00,0.67,0.00,247.78
1099,1,0.91,0.91,0.11,0.03,0.89,0.00,0.67,0.00,8.29
1100,1,0.42,0.04,0.00,0.04,1.00,0.00,0.67,0.00,3.29
1101,1,1.80,0.50,0.26,0.20,0.74,0.00,0.67,0.00,16.97
1102,1,0.83,0.83,0.64,0.00,0.36,0.00,0.67,0.00,16.51
1103,1,0.96,0.96,0.03,0.00,0.97,0.00,0.67,0.00,6.49
1104,1,1.53,0.12,0.12,0.07,0.88,0.00,0.67,0.00,10.92
1105,1,1.73,1.73,0.15,0.00,0.85,0.00,0.67,0.00,16.19
1106,1,0.35,0.20,0.79,1.59,0.21,0.47,0.44,0.00,12.71
1107,1,0.53,0.00,0.04,0.00,0.96,0.00,0.67,0.00,3.20
1108,1,1.16,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.99
1109,1,3.99,0.77,0.21,0.00,0.79,0.00,0.67,0.00,27.59
1110,1,1.00,1.00,0.06,0.00,0.94,0.00,0.67,0.00,7.34
1111,1,0.81,0.81,0.06,0.00,0.94,0.00,0.67,0.00,5.98
1112,1,4.61,0.51,0.06,0.00,0.94,0.00,0.67,0.00,28.46
1113,1,0.77,0.00,0.18,0.00,0.82,0.00,0.67,0.00,4.64
1114,1,0.41,0.00,0.23,0.00,0.77,0.00,0.67,0.00,2.48
1115,1,0.64,0.03,0.00,0.03,1.00,0.00,0.67,0.00,4.51
1116,1,5.90,1.93,0.03,0.02,0.97,0.00,0.67,0.00,37.38
1117,1,1.48,1.48,0.08,0.08,0.92,0.00,0.67,0.00,13.09
1118,1,6.40,0.00,0.02,0.00,0.98,0.00,0.67,0.00,38.63
1119,1,2.39,0.64,0.05,0.00,0.95,0.00,0.67,0.00,15.15
1120,1,1.76,0.00,0.09,0.00,0.91,0.00,0.67,0.00,10.61
1121,1,0.20,0.06,0.00,0.06,1.00,0.00,0.67,0.00,2.53
1122,1,0.81,0.63,0.12,0.00,0.88,0.00,0.67,0.00,6.52
1123,1,0.79,0.00,0.15,0.00,0.85,0.00,0.67,0.00,4.76
1124,1,1.55,0.00,0.01,0.00,0.99,0.00,0.67,0.00,9.37
1125,1,0.93,0.00,0.19,0.00,0.81,0.00,0.67,0.00,5.63
1126,1,1.25,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.56
1127,1,0.86,0.26,0.04,0.01,0.96,0.00,0.67,0.00,5.60
1128,1,0.89,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.38
1129,1,0.94,0.00,0.22,0.00,0.78,0.00,0.67,0.00,5.68
1130,1,10.95,0.00,0.02,0.00,0.98,0.00,0.67,0.00,66.10
1131,1,0.31,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.86
1132,1,0.15,0.02,0.05,0.01,0.95,0.00,0.67,0.00,1.18
1133,1,13.07,0.12,0.04,0.07,0.96,0.00,0.67,0.00,80.43
1134,1,1.10,0.05,0.03,0.05,0.97,0.00,0.67,0.00,7.77
1135,1,0.60,0.36,0.35,0.00,0.65,0.00,0.67,0.00,6.32
1136,1,1.79,1.79,0.06,0.01,0.94,0.00,0.67,0.00,13.30
1137,1,10.09,0.87,0.30,0.00,0.70,0.00,0.67,0.00,66.66
1138,1,8.03,0.94,0.39,0.00,0.61,0.00,0.67,0.00,56.45
1139,1,5.99,0.00,0.02,0.00,0.98,0.00,0.67,0.00,36.15
1140,1,3.96,0.07,0.00,0.07,1.00,0.00,0.67,0.00,25.50
1141,1,0.68,0.68,0.44,0.00,0.56,0.00,0.67,0.00,10.55
1142,1,1.03,0.23,0.10,0.19,0.90,0.00,0.67,0.00,10.34
1143,1,0.81,0.08,0.00,0.08,1.00,0.00,0.67,0.00,6.59
1144,1,4.88,0.25,0.11,0.25,0.89,0.00,0.67,0.00,34.86
1145,1,0.79,0.79,0.36,0.00,0.64,0.00,0.67,0.00,11.00
1146,1,1.41,0.00,0.01,0.00,0.99,0.00,0.67,0.00,8.54
1147,1,1.35,0.02,0.00,0.02,1.00,0.00,0.67,0.00,8.54
1148,1,1.97,0.16,0.35,0.16,0.65,0.00,0.67,0.00,15.46
1149,1,1.50,0.09,0.02,0.09,0.98,0.00,0.67,0.00,10.97
1150,1,1.75,0.00,0.11,0.00,0.89,0.00,0.67,0.00,10.58
1151,1,0.73,0.12,0.01,0.12,0.99,0.00,0.67,0.00,6.93
1152,1,1.90,0.11,0.16,0.12,0.84,0.00,0.67,0.00,13.97
1153,1,0.99,0.68,0.04,0.00,0.96,0.00,0.67,0.00,6.52
1154,1,0.98,0.32,0.15,0.00,0.85,0.00,0.67,0.00,6.95
1155,1,0.64,0.64,0.15,0.08,0.85,0.00,0.67,0.00,7.46
1156,1,1.01,0.00,0.09,0.00,0.91,0.00,0.67,0.00,6.07
1157,1,1.58,1.58,0.03,0.00,0.97,0.00,0.67,0.00,10.59
1158,1,1.36,0.57,0.31,0.00,0.69,0.00,0.67,0.00,12.01
1159,1,2.82,0.38,0.49,0.00,0.51,0.00,0.67,0.00,21.06
1160,1,0.66,0.66,0.76,0.04,0.24,0.00,0.67,0.00,15.14
1161,1,3.82,0.06,0.40,0.06,0.60,0.00,0.67,0.00,24.49
1162,1,1.05,0.48,0.24,0.00,0.76,0.00,0.67,0.00,8.80
1163,1,0.48,0.00,0.40,1.30,0.60,1.02,0.31,4.00,19.65
1164,1,0.89,0.89,0.33,0.00,0.67,0.00,0.67,0.00,11.72
1165,1,0.80,0.80,0.33,0.00,0.67,0.00,0.67,0.00,10.58
1166,1,1.01,1.01,0.11,0.02,0.89,0.00,0.67,0.00,8.88
1167,1,1.05,0.08,0.00,0.08,1.00,0.00,0.67,0.00,8.00
1168,1,1.19,0.13,0.14,0.13,0.86,0.00,0.67,0.00,10.10
1169,1,1.09,0.66,0.27,0.06,0.73,0.00,0.67,0.00,11.40
1170,1,14.08,2.26,0.02,0.00,0.98,0.00,0.67,0.00,86.16
1171,1,0.64,0.55,0.34,0.00,0.66,0.00,0.67,0.00,7.92
1172,1,4.75,0.00,0.10,0.00,0.90,0.00,0.67,0.00,28.69
1173,1,0.61,0.06,0.00,0.06,1.00,0.00,0.67,0.00,4.95
1174,1,0.70,0.09,0.38,0.09,0.62,0.00,0.67,0.00,6.17
1175,1,0.22,0.22,0.41,0.00,0.59,0.00,0.67,0.00,3.26
1176,1,3.44,0.04,0.03,0.04,0.97,0.00,0.67,0.00,21.61
1177,1,0.37,0.37,0.72,0.13,0.28,0.00,0.67,0.00,8.81
1178,1,10.66,0.18,0.17,0.00,0.83,0.00,0.67,0.00,65.04
1179,1,29.87,0.24,0.54,0.00,0.46,0.00,0.67,0.00,183.09
1180,1,0.96,0.14,0.00,0.14,1.00,0.00,0.67,0.00,8.82
1181,1,1.38,0.50,0.61,0.00,0.39,0.00,0.67,0.00,14.93
1182,1,1.62,0.77,0.35,0.00,0.65,0.00,0.67,0.00,15.54
1183,1,1.30,1.30,0.07,0.02,0.93,0.00,0.67,0.00,10.28
1184,1,1.94,1.94,0.04,0.07,0.96,0.00,0.67,0.00,14.67
1185,1,2.70,0.00,0.05,0.00,0.95,0.00,0.67,0.00,16.28
1186,1,2.10,0.00,0.09,0.00,0.91,0.00,0.67,0.00,12.65
1187,1,5.94,0.28,0.02,0.02,0.98,0.00,0.67,0.00,36.34
1188,1,2.31,0.00,0.05,0.00,0.95,0.00,0.67,0.00,13.97
1189,1,4.05,0.02,0.04,0.02,0.96,0.00,0.67,0.00,24.91
1190,1,0.77,0.14,0.02,0.14,0.98,0.00,0.67,0.00,7.68
1191,1,3.18,0.00,0.05,0.00,0.95,0.00,0.67,0.00,19.19
1192,1,3.87,0.12,0.00,0.12,1.00,0.00,0.67,0.00,25.90
1193,1,0.80,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.85
1194,1,4.71,0.00,0.02,0.00,0.98,0.00,0.67,0.00,28.42
1195,1,1.88,0.08,0.03,0.08,0.97,0.00,0.67,0.00,13.15
1196,1,0.67,0.02,0.00,0.02,1.00,0.00,0.67,0.00,4.57
1197,1,9.97,0.00,0.05,0.00,0.95,0.00,0.67,0.00,60.20
1198,1,0.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.49
1199,1,3.53,0.08,0.24,0.08,0.76,0.00,0.67,0.00,23.12
1200,1,0.52,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.14
1201,1,0.14,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.82
1202,1,1.73,0.02,0.00,0.02,1.00,0.00,0.67,0.00,10.91
1203,1,0.74,0.34,0.52,0.05,0.48,0.00,0.67,0.00,8.85
1204,1,1.76,0.43,0.25,0.12,0.75,0.00,0.67,0.00,14.86
1205,1,5.06,0.00,0.09,0.00,0.91,0.00,0.67,0.00,30.54
1206,1,1.19,0.59,0.08,0.02,0.92,0.00,0.67,0.00,8.59
1207,1,1.61,0.10,0.15,0.10,0.85,0.00,0.67,0.00,11.92
1208,1,2.80,0.00,0.02,0.00,0.98,0.00,0.67,0.00,16.89
1209,1,0.82,0.11,0.00,0.11,1.00,0.00,0.67,0.00,7.42
1210,1,0.19,0.17,0.79,0.00,0.21,0.00,0.67,0.00,4.14
1211,1,0.37,0.31,0.38,0.00,0.62,0.00,0.67,0.00,4.85
1212,1,0.82,0.04,0.06,0.04,0.94,0.00,0.67,0.00,5.80
1213,1,16.55,0.09,0.00,0.09,1.00,0.00,0.67,0.00,101.92
1214,1,0.35,0.35,0.46,0.00,0.54,0.00,0.67,0.00,5.65
1215,1,1.41,1.41,0.28,0.00,0.72,0.00,0.67,0.00,17.10
1216,1,0.52,0.38,0.48,0.07,0.52,0.00,0.67,0.00,7.93
1217,1,0.92,0.06,0.03,0.06,0.97,0.00,0.67,0.00,6.90
1218,1,0.79,0.22,0.46,0.22,0.54,0.00,0.67,0.00,9.45
1219,1,1.76,0.43,0.14,0.42,0.86,0.00,0.67,0.00,19.85
1220,1,0.82,0.82,0.11,0.05,0.89,0.00,0.67,0.00,7.93
1221,1,3.67,0.08,0.00,0.06,1.00,0.00,0.67,0.00,23.58
1222,1,0.99,0.39,0.03,0.38,0.97,0.00,0.67,0.00,14.33
1223,1,0.92,0.09,0.03,0.03,0.97,0.00,0.67,0.00,6.16
1224,1,1.55,0.00,0.01,0.04,0.99,0.00,0.67,0.00,10.31
1225,1,4.50,4.13,0.04,0.00,0.96,0.00,0.67,0.00,31.07
1226,1,16.27,0.00,0.02,0.00,0.98,0.00,0.67,0.00,98.23
